Product_Name,Product_Value,Product_Category
Coriander - Ground,7.43,Groceries
Coriander - Seed,13.86,Groceries
Corn - Cream  Canned,11.19,Groceries
Cornflakes,12.23,Groceries
Crab - Claws  Snow 16 - 24,12.43,Groceries
Crab - Dungeness  Whole  live,14.96,Groceries
Crab - Meat Combo,13.07,Groceries
Crab Brie In Phyllo,11.86,Groceries
Crackers - Trio,11.97,Groceries
Crackers Cheez It,10.53,Groceries
Cranberries - Fresh,5.76,Groceries
Cranberry Foccacia,7.37,Groceries
Cream Of Tartar,11.67,Groceries
Creamers - 10%,7.1,Groceries
Creme De Banane - Marie,14.63,Groceries
Creme De Cacao Mcguines,10.29,Groceries
Creme De Menthe Green,9.67,Groceries
Crush - Cream Soda,11.05,Groceries
Cumin - Ground,13.15,Groceries
Cup - 3.5oz  Foam,9.2,Groceries
Currants,11.14,Groceries
Curry Powder,6.78,Groceries
Curry Powder Madras,8.76,Groceries
Daikon Radish,7.98,Groceries
Dasheen,7.06,Groceries
Dawn Professionl Pot And Pan,5.45,Groceries
Dc - Frozen Momji,14.33,Groceries
Dill - Primerba  Paste,8.05,Groceries
Dip - Tapenade,12.01,Groceries
Doilies - 12  Paper,6.77,Groceries
Dooleys Toffee,6.53,Groceries
Dragon Fruit,9.28,Groceries
Dried Figs,7.87,Groceries
Easy Off Oven Cleaner,8.3,Groceries
Ecolab - Hobart Upr Prewash Arm,12.56,Groceries
Ecolab - Hobart Washarm End Cap,7.53,Groceries
Ecolab - Solid Fusion,8.79,Groceries
Ecolab Digiclean Mild Fm,14.53,Groceries
Ecolab Silver Fusion,11.28,Groceries
Egg Patty Fried,10.93,Groceries
Eggplant - Asian,8.58,Groceries
Eggroll,11.83,Groceries
Emulsifier,8.29,Groceries
Energy - Boo - Koo,7.51,Groceries
Energy Drink - Franks Pineapple,11.85,Groceries
Evaporated Milk - Skim,10.79,Groceries
Extract - Lemon,14.76,Groceries
Extract - Raspberry,11.99,Groceries
Ezy Change Mophandle,12.76,Groceries
Fennel - Seeds,6.83,Groceries
Fenngreek Seed,5.27,Groceries
Fib N9 - Prague Powder,14.44,Groceries
Fish - Bones,8,Groceries
Fish - Soup Base  Bouillon,14.85,Groceries
Flavouring - Orange,10.84,Groceries
Flour - Bran  Red,12.39,Groceries
Flour - Chickpea,11.42,Groceries
Flour - Masa De Harina Mexican,14.94,Groceries
Flour - Pastry,7.64,Groceries
Flour - Rye,8.41,Groceries
Flour - Strong,5.86,Groceries
Flour - Strong Pizza,5.71,Groceries
Flower - Carnations,12.16,Groceries
Flower - Dish Garden,14.12,Groceries
Flower - Potmums,6.19,Groceries
Foam Dinner Plate,13.38,Groceries
Foil - Round Foil,5.46,Groceries
Foil Wrap,14.05,Groceries
Fondant - Icing,8.26,Groceries
Food Colouring - Red,13.04,Groceries
French Kiss Vanilla,9.15,Groceries
Fruit Salad Deluxe,8.27,Groceries
Garam Marsala,8.48,Groceries
Garbag Bags - Black,12.45,Groceries
Garbage Bags - Black,10.52,Groceries
Garbage Bags - Clear,11.63,Groceries
Garlic - Elephant,7.54,Groceries
Gatorade - Cool Blue Raspberry,6.51,Groceries
Gatorade - Orange,6.05,Groceries
Gatorade - Xfactor Berry,12.32,Groceries
General Purpose Trigger,11.75,Groceries
Gherkin,10.45,Groceries
Glass - Juice Clear 5oz 55005,11.33,Groceries
Glass - Wine  Plastic  Clear 5 Oz,13.48,Groceries
Glass Clear 7 Oz Xl,14.99,Groceries
Glaze - Clear,11.89,Groceries
Glove - Cutting,5.06,Groceries
Gloves - Goldtouch Disposable,6.11,Groceries
Glycerine,12.28,Groceries
Goat - Leg,9.82,Groceries
Gooseberry,5.35,Groceries
Goulash Seasoning,6.84,Groceries
Grand Marnier,10.48,Groceries
Grapefruit - Pink,5.17,Groceries
Grapes - Green,5.49,Groceries
Green Tea Refresher,9.01,Groceries
Greens Mustard,8.15,Groceries
Grenadillo,9.48,Groceries
Grouper - Fresh,13.78,Groceries
Halibut - Whole  Fresh,6.44,Groceries
Ham - Virginia,10.74,Groceries
Ham Black Forest,13.89,Groceries
Herb Du Provence - Primerba,6.17,Groceries
Hickory Smoke  Liquid,9.09,Groceries
Hot Choc Vending,7.38,Groceries
Huck White Towels,11.35,Groceries
Ice Cream - Chocolate,10.07,Groceries
Ice Cream - Fudge Bars,6.53,Groceries
Ice Cream - Life Savers,12.32,Groceries
Ice Cream - Turtles Stick Bar,12.7,Groceries
Ice Cream Bar - Oreo Cone,14.09,Groceries
Ice Cream Bar - Oreo Sandwich,5.15,Groceries
Icecream - Dstk Strw Chseck,8.73,Groceries
Icecream Bar - Del Monte,11.07,Groceries
Icecream Cone - Areo Chocolate,7.87,Groceries
Iced Tea Concentrate,5.05,Groceries
Iced Tea Concentrate,5.72,Groceries
Irish Cream - Butterscotch,10.35,Groceries
Island Oasis - Cappucino Mix,8.67,Groceries
Island Oasis - Pina Colada,8.46,Groceries
Island Oasis - Strawberry,6.29,Groceries
Isomalt,8.15,Groceries
Jam - Apricot,6.06,Groceries
Jam - Marmalade  Orange,7.93,Groceries
Jam - Strawberry  20 Ml Jar,9.35,Groceries
Jameson Irish Whiskey,8.11,Groceries
Juice - Apple 284ml,14.05,Groceries
Juice - Apple  1.36l,9.95,Groceries
Juice - Apple  341 Ml,6.93,Groceries
Juice - Clam  46 Oz,9.42,Groceries
Juice - Cranberry  341 Ml,9.81,Groceries
Juice - Grapefruit  341 Ml,14.87,Groceries
Juice - Ocean Spray Cranberry,6.75,Groceries
Juice - Orange,5.1,Groceries
Juice - Orangina,9.81,Groceries
Juice - Pineapple  48 Oz,14.31,Groceries
Juice - Propel Sport,13.57,Groceries
Juice - Prune,9.82,Groceries
Juice - Tomato  48 Oz,11.19,Groceries
Juice - V8  Tomato,5.48,Groceries
Juice Peach Nectar,5.22,Groceries
Kaffir Lime Leaves,11.92,Groceries
Kaffir Lime Leaves,7.8,Groceries
Kahlua,5.72,Groceries
Kellogs All Bran Bars,6.83,Groceries
Kellogs Special K Cereal,7.87,Groceries
Lady Fingers,6.42,Groceries
Lamb - Leg  Bone In,14.24,Groceries
Lamb - Leg  Boneless,14.4,Groceries
Lamb - Leg  Diced,14,Groceries
Lamb - Shoulder,12.87,Groceries
Lamb - Whole Head Off nz,8.01,Groceries
Lamb - Whole  Frozen,6.01,Groceries
Lamb Rack - Ontario,14.07,Groceries
Lamb Shoulder Boneless Nz,7.11,Groceries
Langers - Mango Nectar,10.38,Groceries
Laundry - Bag Cloth,8.14,Groceries
Leeks - Baby  White,6.67,Groceries
Lemon Tarts,14.94,Groceries
Lemonade - Black Cherry  591 Ml,7.66,Groceries
Lemonade - Pineapple Passion,13.77,Groceries
Lemons,6.07,Groceries
Lentils - Red  Dry,10.37,Groceries
Lettuce - Frisee,13.52,Groceries
Lettuce - Radicchio,6.08,Groceries
Lettuce - Sea / Sea Asparagus,14.59,Groceries
Lettuce - Treviso,14.14,Groceries
Lettuce Romaine Chopped,10.38,Groceries
Lid - 10 12 16 Oz,12.56,Groceries
Lid - 16 Oz And 32 Oz,12.35,Groceries
Lid Tray - 16in Dome,6.47,Groceries
Lidsoupcont Rp12dn,5.33,Groceries
Liners - Banana  Paper,9,Groceries
Liqueur - Melon,13.68,Groceries
Loaf Pan - 2 Lb  Foil,8.79,Groceries
Lobak,8.86,Groceries
Lobster - Baby  Boiled,12.56,Groceries
Lobster - Canned Premium,12.88,Groceries
Lobster - Tail  3 - 4 Oz,12.5,Groceries
Longan,12.34,Groceries
Longos - Chicken Curried,10.58,Groceries
Longos - Greek Salad,6.8,Groceries
Longos - Penne With Pesto,5.31,Groceries
Lotus Leaves,8.86,Groceries
Lotus Root,11.08,Groceries
Lotus Rootlets - Canned,6.95,Groceries
Lumpfish Black,10.7,Groceries
Marjoram - Fresh,6.33,Groceries
Mayonnaise,6.2,Groceries
Mayonnaise - Individual Pkg,9.66,Groceries
Mcguinness - Blue Curacao,8.24,Groceries
Meldea Green Tea Liquor,14.29,Groceries
Melon - Cantaloupe,13.54,Groceries
Melon - Honey Dew,8.68,Groceries
Melon - Watermelon Yellow,6.83,Groceries
Melon - Watermelon  Seedless,9.82,Groceries
Mikes Hard Lemonade,6.49,Groceries
Milk - Chocolate 500ml,6,Groceries
Milk - Condensed,14.76,Groceries
Milk - Homo,13.15,Groceries
Milkettes - 2%,5.67,Groceries
Mini - Vol Au Vents,6.34,Groceries
Mint - Fresh,9.62,Groceries
Mints - Striped Red,12.39,Groceries
Miso - Soy Bean Paste,7.99,Groceries
Monkfish - Fresh,10.78,Groceries
Mortadella,14.45,Groceries
Mountain Dew,8.89,Groceries
Mousse - Banana Chocolate,7.72,Groceries
Mousse - Passion Fruit,12.48,Groceries
Mudslide,12.18,Groceries
Muffin - Blueberry Individual,5.44,Groceries
Muffin - Mix - Bran And Maple 15l,12.69,Groceries
Muffin - Mix - Creme Brule 15l,5.55,Groceries
Muffin - Mix - Strawberry Rhubarb,12.93,Groceries
Muffin Batt - Carrot Spice,13.98,Groceries
Muffin Mix - Banana Nut,8.3,Groceries
Muffin Mix - Blueberry,6.13,Groceries
Muffin Mix - Lemon Cranberry,6.4,Groceries
Muffin Mix - Raisin Bran,7.38,Groceries
Muffins - Assorted,11.33,Groceries
Mushroom - Chanterelle  Dry,10.91,Groceries
Mushroom - Chantrelle  Fresh,7.18,Groceries
Mushroom - Enoki  Dry,14.67,Groceries
Mushroom - Porcini Frozen,9.69,Groceries
Mussels - Cultivated,14.4,Groceries
Mustard - Dijon,14.19,Groceries
Myers Planters Punch,9.38,Groceries
Nantucket - Carrot Orange,8.23,Groceries
Nantucket - Pomegranate Pear,9.57,Groceries
Nantucket Apple Juice,8.49,Groceries
Napkin Colour,9.98,Groceries
Noodles - Cellophane  Thin,8.69,Groceries
Numi - Assorted Teas,14.05,Groceries
Nut - Macadamia,5.05,Groceries
Nut - Pine Nuts  Whole,12.14,Groceries
Nut - Pumpkin Seeds,7.07,Groceries
Octopus - Baby  Cleaned,9.69,Groceries
Oil - Avocado,14.61,Groceries
Oil - Grapeseed Oil,10.11,Groceries
Oil - Margarine,5.66,Groceries
Oil - Sunflower,9.59,Groceries
Oil - Truffle  Black,7.92,Groceries
Okra,14.91,Groceries
Okra,6.4,Groceries
Olives - Kalamata,8.58,Groceries
Oneshot Automatic Soap System,5.91,Groceries
Onion Powder,10.26,Groceries
Onions - Red,9.27,Groceries
Onions - Red Pearl,8.96,Groceries
Orange - Blood,5.47,Groceries
Orange - Canned  Mandarin,8.62,Groceries
Oregano - Dry  Rubbed,5.56,Groceries
Oregano - Dry  Rubbed,5.47,Groceries
Ostrich - Fan Fillet,8.17,Groceries
Ostrich - Prime Cut,5.37,Groceries
Otomegusa Dashi Konbu,7.05,Groceries
Oven Mitts 17 Inch,6.96,Groceries
Oyster - In Shell,8.15,Groceries
Oysters - Smoked,8.1,Groceries
Pail - 4l White  With Handle,5.95,Groceries
Pan Grease,9.49,Groceries
Parsley - Dried,13.72,Groceries
Parsnip,14.21,Groceries
Pasta - Angel Hair,8.92,Groceries
Pasta - Bauletti  Chicken White,8.73,Groceries
Pasta - Canelloni,14.98,Groceries
Pasta - Canelloni  Single Serve,6.57,Groceries
Pasta - Cappellini  Dry,5.41,Groceries
Pasta - Cheese / Spinach Bauletti,13.97,Groceries
Pasta - Detalini  White  Fresh,5.72,Groceries
Pasta - Elbows  Macaroni  Dry,14.21,Groceries
Pasta - Fett Alfredo  Single Serve,13.76,Groceries
Pasta - Fusili Tri - Coloured,7.11,Groceries
Pasta - Fusili  Dry,11.87,Groceries
Pasta - Lasagna  Dry,6.59,Groceries
Pasta - Linguini  Dry,11.82,Groceries
Pasta - Penne Primavera  Single,8.23,Groceries
Pasta - Rotini  Colour  Dry,13.4,Groceries
Pasta - Rotini  Dry,11.84,Groceries
Pasta - Spaghetti  Dry,9.58,Groceries
Pasta - Tortellini  Fresh,8.57,Groceries
Pastry - Apple Muffins - Mini,9.66,Groceries
Pastry - Baked Cinnamon Stick,6.97,Groceries
Pastry - Butterscotch Baked,13.29,Groceries
Pastry - Chocolate Chip Muffin,12.86,Groceries
Pastry - Mini French Pastries,6.12,Groceries
Pastry - Plain Baked Croissant,14.27,Groceries
Pate - Liver,7.28,Groceries
Peach - Fresh,11.08,Groceries
Pear - Packum,7.14,Groceries
Pears - Anjou,7.74,Groceries
Pears - Bosc,13.73,Groceries
Peas - Pigeon  Dry,6.57,Groceries
Pepper - Black  Crushed,7.68,Groceries
Pepper - Cayenne,6.34,Groceries
Pepper - Green,6.83,Groceries
Pepper - Gypsy Pepper,14.84,Groceries
Pepper - Red Chili,11.74,Groceries
Pepper - Red Thai,5.93,Groceries
Pepper - White  Ground,7.95,Groceries
Pepper Squash,14.35,Groceries
Pepperoni Slices,10.25,Groceries
Pernod,8.76,Groceries
Petit Baguette,12.13,Groceries
Pickerel - Fillets,5.91,Groceries
Pike - Frozen Fillet,11.06,Groceries
Pineapple - Canned  Rings,6.12,Groceries
Pineapple - Golden,10.51,Groceries
Pineapple - Regular,9.16,Groceries
Piping - Bags Quizna,5.96,Groceries
Plasticspoonblack,6.39,Groceries
Pomegranates,9.46,Groceries
Pop - Club Soda Can,12.12,Groceries
Pork - Back Ribs,7.86,Groceries
Pork - Back  Long Cut  Boneless,14.28,Groceries
Pork - Bacon  Double Smoked,14.18,Groceries
Pork - Bacon back Peameal,13.7,Groceries
Pork - Butt  Boneless,14.63,Groceries
Pork - Caul Fat,12.4,Groceries
Pork - Chop  Frenched,9.81,Groceries
Pork - Ground,12.18,Groceries
Pork - Hock And Feet Attached,14.57,Groceries
Pork - Loin  Boneless,8.95,Groceries
Pork - Sausage  Medium,5.08,Groceries
Pork - Shoulder,14.17,Groceries
Pork - Smoked Back Bacon,12.49,Groceries
Pork Loin Bine - In Frenched,7.35,Groceries
Pork Salted Bellies,9.34,Groceries
Potatoes - Mini White 3 Oz,9.06,Groceries
Potatoes - Peeled,10.1,Groceries
Potatoes - Yukon Gold 5 Oz,6.48,Groceries
Potatoes - Yukon Gold  80 Ct,12.37,Groceries
Puree - Guava,6.52,Groceries
Puree - Kiwi,14.89,Groceries
Puree - Mango,5.1,Groceries
Puree - Strawberry,6.23,Groceries
Quail - Jumbo Boneless,10.88,Groceries
Quail - Whole  Bone - In,13.34,Groceries
Quail - Whole  Boneless,6.01,Groceries
Rabbit - Legs,6.8,Groceries
Radish - Pickled,5.16,Groceries
Raspberries - Frozen,11.5,Groceries
Red Cod Fillets - 225g,11.77,Groceries
Red Currant Jelly,12.61,Groceries
Relish,9.63,Groceries
Rice - Jasmine Sented,8.49,Groceries
Rice Wine - Aji Mirin,14.94,Groceries
Roe - Lump Fish  Black,14.61,Groceries
Roe - Lump Fish  Red,7.73,Groceries
Roe - White Fish,7.09,Groceries
Rootbeer,9.5,Groceries
Rosemary - Dry,12.33,Groceries
Rum - Coconut  Malibu,13.13,Groceries
Rum - White  Gg White,8,Groceries
Russian Prince,10.12,Groceries
Rye Special Old,5.79,Groceries
Sage - Ground,5.1,Groceries
Salami - Genova,6.43,Groceries
Salmon - Atlantic  No Skin,5.8,Groceries
Salmon - Atlantic  Skin On,12.75,Groceries
Salmon - Sockeye Raw,6.52,Groceries
Salmon - Whole  4 - 6 Pounds,9.56,Groceries
Samosa - Veg,14.74,Groceries
Sandwich Wrap,13.03,Groceries
Sardines,10.68,Groceries
Sauce - Alfredo,13.02,Groceries
Sauce - Alfredo,14.46,Groceries
Sauce - Bernaise  Mix,9.59,Groceries
Sauce - Chili,11.66,Groceries
Sauce - Cranberry,12.28,Groceries
Sauce - Fish 25 Ozf Bottle,5.64,Groceries
Sauce - Ranch Dressing,7.19,Groceries
Sauce - Thousand Island,10.63,Groceries
Sauce Bbq Smokey,9.93,Groceries
Sauerkraut,5.58,Groceries
Sausage - Andouille,5.4,Groceries
Sausage - Blood Pudding,9.65,Groceries
Sausage - Meat,10.35,Groceries
Scallops - In Shell,7.25,Groceries
Schnappes - Peach  Walkers,7.51,Groceries
Scrubbie - Scotchbrite Hand Pad,10.37,Groceries
Seedlings - Mix  Organic,11.5,Groceries
Shiro Miso,13.38,Groceries
Shortbread - Cookie Crumbs,5.23,Groceries
Shrimp - 100 / 200 Cold Water,10.4,Groceries
Shrimp - 150 - 250,6.05,Groceries
Shrimp - 16 - 20 Cooked  Peeled,6.96,Groceries
Shrimp - 16/20  Peeled Deviened,6.37,Groceries
Shrimp - 21/25  Peel And Deviened,11.34,Groceries
Shrimp - Baby  Cold Water,7.78,Groceries
Shrimp - Baby  Warm Water,12.12,Groceries
Shrimp - Black Tiger 16/20,6.05,Groceries
Shrimp - Black Tiger 6 - 8,10.96,Groceries
Shrimp  Dried  Small / Lb,5.07,Groceries
Silicone Paper 16.5x24,10.77,Groceries
Skirt - 24 Foot,5.83,Groceries
Sloe Gin - Mcguinness,5.54,Groceries
Smoked Tongue,13.64,Groceries
Snails - Large Canned,10.72,Groceries
Snapple Lemon Tea,9.04,Groceries
Soap - Mr.clean Floor Soap,5.93,Groceries
Soap - Pine Sol Floor Cleaner,8.33,Groceries
Sobe - Green Tea,10.14,Groceries
Sobe - Liz Blizz,5.49,Groceries
Soup - Base Broth Chix,5.71,Groceries
Soup - Beef  Base Mix,8.88,Groceries
Soup - Campbells,10.01,Groceries
Soup - Campbells - Tomato,11,Groceries
Soup - Campbells Bean Medley,13.3,Groceries
Soup - Campbells Broccoli,6.65,Groceries
Soup - Campbells Chicken,9.53,Groceries
Soup - Campbells Chili Veg,6.69,Groceries
Soup - Campbells  Beef Barley,5.02,Groceries
Soup - Campbells  Classic Chix,7.05,Groceries
Soup - Canadian Pea  Dry Mix,14.23,Groceries
Soup - Clam Chowder  Dry Mix,6.77,Groceries
Soup - Cream Of Broccoli  Dry,7.27,Groceries
Soup - Cream Of Potato / Leek,11.15,Groceries
Soup - French Onion,14.01,Groceries
Soup - Knorr  Chicken Noodle,13.84,Groceries
Soup - Knorr  Classic Can. Chili,7.49,Groceries
Soup Campbells - Tomato Bisque,10.81,Groceries
Soup V8 Roasted Red Pepper,12.49,Groceries
Sour Puss - Tangerine,8.75,Groceries
Sour Puss Raspberry,9.58,Groceries
Southern Comfort,13.74,Groceries
Soy Protein,5.62,Groceries
Spice - Chili Powder Mexican,7.45,Groceries
Spice - Paprika,7.35,Groceries
Spice - Pepper Portions,8.84,Groceries
Spinach - Baby,12.21,Groceries
Spinach - Frozen,8.74,Groceries
Spoon - Soup  Plastic,5.67,Groceries
Sprouts - Alfalfa,13.69,Groceries
Sprouts - Brussel,10.87,Groceries
Sprouts - Corn,5.87,Groceries
Sprouts Dikon,12.6,Groceries
Sproutsmustard Cress,10.19,Groceries
Squash - Butternut,12.6,Groceries
